"Rank","Economy","Strength / Weakness","Value","Score"
"129","New Caledonia","","-","0.0"
"129","Mayotte","","-","0.0"
"129","Northern Mariana Islands","","-","0.0"
"129","Nauru","","-","0.0"
"129","Niue","","-","0.0"
"129","Central African Republic","","31.4","0.0"
"129","Bahamas","","81.3","0.0"
"129","Bermuda","","-","0.0"
"129","Congo","","60.6","0.0"
"129","Cook Islands","","-","0.0"
"129","Channel Islands","","-","0.0"
"129","American Samoa","","-","0.0"
"129","Antigua and Barbuda","","83.4","0.0"
"129","Andorra","","-","0.0"
"129","Netherlands Antilles","","-","0.0"
"129","Aruba","","-","0.0"
"129","Afghanistan","","93.0","0.0"
"129","Anguilla","","-","0.0"
"129","Faroe Islands","","-","0.0"
"129","Micronesia, Federated States of","","69.6","0.0"
"129","Guinea Bissau","","59.1","0.0"
"129","Equatorial Guinea","","36.6","0.0"
"129","Gibraltar","","-","0.0"
"129","French Guiana","","-","0.0"
"129","Guam","","-","0.0"
"129","Grenada","","86.8","0.0"
"129","Greenland","","-","0.0"
"129","Comoros","","69.3","0.0"
"129","Eritrea","","46.2","0.0"
"129","Cuba","","-","0.0"
"129","Curaçao","","-","0.0"
"129","Cayman Islands","","-","0.0"
"129","Djibouti","","66.8","0.0"
"129","Dominica","","89.3","0.0"
