Country,Year,Inflow,Nationality,Perc_In_To_Nationality,ScaledValueInflow,ScaledValueNationality
United States,2005,84681.0,35962.0,42.4676137504,100.0,100.0
Australia,2006,15240.0,7638.0,50.1181102362,31.2,24.46
Canada,2006,33848.0,33974.0,100.372252423,58.95,74.31
France,2006,1551.0,0.0,0.0,10.79,10.0
Germany,2006,8911.0,908.0,10.1896532376,21.76,11.72
Italy,2006,6292.0,0.0,0.0,17.86,10.0
Spain,2006,4212.0,250.0,5.93542260209,14.75,10.47
Sweden,2006,1024.0,332.0,32.421875,10.0,10.63
United Kingdom,2006,57000.0,15134.0,26.550877193,93.48,38.65
United States,2006,61369.0,47542.0,77.4690804804,100.0,100.0
Australia,2007,19823.0,13026.0,65.7115471927,36.18,35.01
Canada,2007,28742.0,25796.0,89.7501913576,48.68,59.53
France,2007,1769.0,0.0,0.0,10.87,10.0
Germany,2007,9367.0,854.0,9.11711326999,21.52,11.64
Italy,2007,7112.0,188.0,2.64341957255,18.36,10.36
Spain,2007,5569.0,231.0,4.14796193212,16.2,10.44
Sweden,2007,1146.0,206.0,17.9755671902,10.0,10.4
United Kingdom,2007,55000.0,14507.0,26.3763636364,85.49,37.86
United States,2007,65353.0,46871.0,71.719737426,100.0,100.0
Australia,2008,22725.0,9119.0,40.1276127613,40.84,22.2
Canada,2008,28261.0,20837.0,73.7305827819,48.9,38.23
France,2008,1816.0,470.0,25.8810572687,10.39,10.36
Germany,2008,11403.0,751.0,6.585986144,24.35,10.75
Italy,2008,12469.0,672.0,5.38936562675,25.9,10.64
Spain,2008,5024.0,280.0,5.57324840764,15.06,10.1
Sweden,2008,1548.0,205.0,13.2428940568,10.0,10.0
United Kingdom,2008,48000.0,11835.0,24.65625,77.64,25.92
United States,2008,63352.0,65971.0,104.134044703,100.0,100.0
Australia,2009,25309.0,9124.0,36.0504168478,44.02,25.23
Canada,2009,29456.0,17398.0,59.0643671917,50.02,39.37
France,2009,1880.0,492.0,26.170212766,10.12,10.49
Germany,2009,12009.0,897.0,7.46939795154,24.78,11.18
Italy,2009,12769.0,894.0,7.00133134936,25.88,11.17
Spain,2009,4280.0,215.0,5.02336448598,13.6,10.01
Sweden,2009,1795.0,207.0,11.5320334262,10.0,10.0
United Kingdom,2009,64000.0,26541.0,41.4703125,100.0,54.99
United States,2009,57304.0,52889.0,92.2954767555,90.31,100.0
Australia,2010,23512.0,17788.0,75.6549846887,38.85,36.18
Canada,2010,34235.0,18970.0,55.4111289616,53.21,37.92
France,2010,1976.0,454.0,22.975708502,10.0,10.67
Germany,2010,13187.0,928.0,7.03723363919,25.02,11.37
Italy,2010,15246.0,1261.0,8.27102190739,27.78,11.86
Spain,2010,3382.0,307.0,9.07746895328,11.88,10.45
Sweden,2010,2150.0,195.0,9.06976744186,10.23,10.29
Switzerland,2010,2371.0,0.0,0.0,10.53,10.0
United Kingdom,2010,68000.0,29405.0,43.2426470588,98.44,53.28
United States,2010,69162.0,61142.0,88.4040368989,100.0,100.0
Australia,2011,21878.0,12948.0,59.1827406527,36.99,35.34
Canada,2011,27509.0,22235.0,80.8280926242,44.52,53.52
France,2011,2136.0,385.0,18.0243445693,10.59,10.75
Germany,2011,15352.0,865.0,5.63444502345,28.26,11.69
Italy,2011,13327.0,1051.0,7.88624596683,25.56,12.06
Spain,2011,3649.0,320.0,8.76952589751,12.62,10.63
Sweden,2011,1691.0,177.0,10.4671791839,10.0,10.35
Switzerland,2011,2410.0,0.0,0.0,10.96,10.0
United Kingdom,2011,61000.0,26290.0,43.0983606557,89.29,61.45
United States,2011,69013.0,45985.0,66.6323736108,100.0,100.0
Australia,2012,27865.0,10076.0,36.1600574197,46.11,31.12
Canada,2012,30933.0,13468.0,43.5392622765,50.39,38.24
France,2012,2285.0,349.0,15.2735229759,10.36,10.73
Germany,2012,18063.0,946.0,5.23722526712,32.41,11.98
Italy,2012,11158.0,2366.0,21.2045169385,22.76,14.96
Spain,2012,2932.0,315.0,10.7435197817,11.26,10.66
Sweden,2012,2027.0,236.0,11.6428219043,10.0,10.49
Switzerland,2012,2584.0,0.0,0.0,10.78,10.0
United Kingdom,2012,36000.0,28352.0,78.7555555556,57.47,69.44
United States,2012,66434.0,42928.0,64.6175151278,100.0,100.0
Australia,2013,38161.0,19217.0,50.357695029,58.74,44.66
Canada,2013,33087.0,15418.0,46.5983618944,51.83,37.81
France,2013,2505.0,370.0,14.7704590818,10.18,10.67
Germany,2013,19455.0,1190.0,6.11667951683,33.26,12.15
Italy,2013,10814.0,4863.0,44.9694840022,21.49,18.77
Spain,2013,2827.0,1042.0,36.8588609834,10.61,11.88
Sweden,2013,2376.0,325.0,13.6784511785,10.0,10.59
Switzerland,2013,2524.0,0.0,0.0,10.2,10.0
United Kingdom,2013,30000.0,36351.0,121.17,47.62,75.57
United States,2013,68458.0,49897.0,72.8870256215,100.0,100.0
Australia,2014,39701.0,27827.0,70.0914334652,54.37,76.16
Canada,2014,38342.0,26557.0,69.2634708675,52.74,73.14
France,2014,2557.0,384.0,15.0175987485,10.0,10.91
Italy,2014,11052.0,0.0,0.0,20.15,10.0
Spain,2014,2938.0,527.0,17.9373723622,10.46,11.25
Sweden,2014,3004.0,306.0,10.1864181092,10.53,10.73
Switzerland,2014,2640.0,135.0,5.11363636364,10.1,10.32
United Kingdom,2014,46000.0,22425.0,48.75,61.89,63.32
United States,2014,77908.0,37854.0,48.5880782461,100.0,100.0
